기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2023.0,특수대학원,사립,경기,폐교,서울신학대학교 글로벌리더십경영융합대학원 ,37.0,3,2,1,0,0,2,1,1,0,0,5.4
2023.0,일반대학원,사립,경기,기존,서울신학대학교 대학원 ,48.0,43,24,19,0,0,34,18,16,0,0,70.8
2023.0,특수대학원,사립,경기,폐교,서울신학대학교 사회복지대학원 ,0.0,1,0,1,0,0,0,0,0,0,0,0.0
2023.0,특수대학원,사립,경기,기존,서울신학대학교 상담대학원 ,33.0,54,11,43,0,0,32,7,25,0,0,97.0
2023.0,특수대학원,사립,경기,기존,서울신학대학교 설교대학원 ,15.0,20,15,5,0,0,17,13,4,0,0,113.3
2023.0,특수대학원,사립,경기,기존,서울신학대학교 신학대학원 ,135.0,175,107,65,1,2,140,88,51,0,1,103.0
2023.0,전문대학원,사립,경기,기존,서울신학대학교 신학전문대학원 ,46.0,48,30,17,1,0,40,24,15,1,0,84.8
2023.0,특수대학원,사립,서울,기존,서울여자대학교 교육대학원 ,26.0,15,0,15,0,0,3,0,3,0,0,11.5
2023.0,일반대학원,사립,서울,기존,서울여자대학교 대학원 ,150.0,188,4,178,0,6,106,2,102,0,2,69.3
2023.0,특수대학원,사립,서울,기존,서울여자대학교 휴먼서비스대학원 ,89.0,23,0,23,0,0,14,0,14,0,0,15.7
2023.0,특수대학원,사립,경기,폐교,서울장신대학교 교회음악대학원 ,6.0,4,2,2,0,0,3,1,2,0,0,50.0
2023.0,특수대학원,사립,경기,기존,서울장신대학교 사회복지상담대학원 ,3.0,5,2,3,0,0,2,1,1,0,0,66.7
2023.0,특수대학원,사립,경기,기존,서울장신대학교 신학대학원 ,57.0,88,49,39,0,0,56,31,25,0,0,98.2
2023.0,특수대학원,사립,경기,폐교,서울장신대학교 영성심리치유대학원 ,12.0,11,1,10,0,0,7,1,6,0,0,58.3
2023.0,특수대학원,사립,경기,기존,서울장신대학교 예배찬양사역대학원 ,21.0,27,9,16,0,2,22,8,13,0,1,100.0
2023.0,일반대학원,사립,경기,기존,서울장신대학교 일반대학원 ,22.0,30,18,12,0,0,21,11,10,0,0,95.5
2023.0,특수대학원,사립,경기,기존,서울장신대학교 자연치유선교대학원 ,10.0,9,4,5,0,0,5,2,3,0,0,50.0
2023.0,특수대학원,사립,서울,기존,서울한영대학교 국제신학선교대학원 ,25.0,60,17,11,28,4,47,15,8,20,4,92.0
2023.0,특수대학원,사립,서울,기존,서울한영대학교 상담복지대학원 ,31.0,112,2,16,60,34,94,1,13,54,26,45.2
2023.0,일반대학원,사립,서울,기존,서울한영대학교 일반대학원 ,26.0,49,5,23,14,7,39,2,20,9,8,84.6
2023.0,특수대학원,사립,충북,기존,서원대학교 교육대학원 ,45.0,29,4,18,2,5,26,4,16,2,4,44.4
2023.0,특수대학원,사립,충북,기존,서원대학교 산업대학원 ,34.0,62,17,29,6,10,43,10,18,6,9,82.4
2023.0,일반대학원,사립,충북,신설,서원대학교 일반대학원 ,8.0,9,3,6,0,0,8,3,5,0,0,100.0
2023.0,특수대학원,사립,충남,기존,선문대학교 교육대학원 ,11.0,10,3,7,0,0,6,2,4,0,0,54.5
